ds,yhat,yhat_lower,yhat_upper
2024-01-01,47171.962464804565,44188.798486129526,50365.9246227406
2024-01-02,46234.95322644807,43106.67202830087,49479.15765306958
2024-01-03,45977.26469791227,42801.494539096995,48842.66235893928
2024-01-04,45284.190180091166,42139.03520887132,48583.9197310623
2024-01-05,44896.71397796035,41804.08104177245,47994.6963344724
2024-01-06,44302.729874337056,41213.358746419,47466.69368752212
2024-01-07,43956.82493016243,40794.98402880413,47132.30440096113
2024-01-08,43827.15594236711,40638.437133265084,47104.073498658305
2024-01-09,43071.99346706326,40081.80685266177,46352.142903014676
2024-01-10,43021.94301568045,39752.28005306935,46175.429890142106
2024-01-11,42558.17524094787,39357.832780833895,45787.48887700785
2024-01-12,42417.208523712914,39227.30443634142,45673.88236052418
2024-01-13,42082.251664831725,38797.969273827155,45254.57998762713
2024-01-14,42003.03785939931,38785.34200937623,45061.47487024594
2024-01-15,42143.07433702429,38803.523759757234,45075.31810297414
2024-01-16,41656.076785343335,38508.76041685001,44656.09235998658
2024-01-17,41868.396132298105,38799.76092255489,45253.09428957586
2024-01-18,41657.364860055204,38541.902931546254,44744.69313426723
2024-01-19,41756.18300631206,38672.10031056942,45009.34841162227
2024-01-20,41645.34849464435,38450.18611353917,44797.82448084829
2024-01-21,41772.640561718,38392.11836010073,44761.293331976114
2024-01-22,42100.1776874098,39149.45026118419,45283.4450774303
2024-01-23,41781.11954992781,38604.32760511403,44806.548668721116
2024-01-24,42142.01792558251,38758.04102431838,45131.865594555326
2024-01-25,42061.14448838264,38970.4283273218,44980.0556291271
2024-01-26,42273.33606069375,39123.430156197785,45335.43597608167
2024-01-27,42261.363057267925,39107.65282925549,45287.86222825403
2024-01-28,42475.831789774296,39545.19964778319,45693.57749256781
2024-01-29,42882.144367981746,39644.68517636914,46084.04532293244
2024-01-30,42637.088599162154,39487.32432556,45706.81065327626
2024-01-31,43071.06608714974,39678.41284503112,46021.22009027379
2024-02-01,43066.29009221409,40156.09053063505,46109.82784085625
2024-02-02,43361.49746519739,40403.389408498195,46508.15076969047
2024-02-03,43443.184394463286,40466.120779671626,46718.82771722218
2024-02-04,43765.38043498272,40454.87008691295,46762.12992255542
2024-02-05,44296.48836551226,41192.08711964281,47435.006428539884
2024-02-06,44195.76577092098,41208.61172314941,47354.466533660605
