ds,yhat,yhat_lower,yhat_upper
2024-01-01,2385.637718322156,2205.5027698999434,2584.7285871341946
2024-01-02,2337.207436707637,2144.996308051338,2530.461078203203
2024-01-03,2344.0315941479907,2161.7367063486918,2533.6067312193913
2024-01-04,2333.027011468066,2151.541216754632,2514.584275970583
2024-01-05,2327.825088551515,2135.8572786760583,2502.0089631515257
2024-01-06,2337.8348706883644,2151.887731897336,2531.4032223139734
2024-01-07,2346.734050101,2154.255773562108,2531.7337674975447
2024-01-08,2382.6664423800835,2190.769182578428,2559.564404279106
2024-01-09,2351.6402546540494,2171.8124154644,2540.6718591244116
2024-01-10,2373.7224133795326,2179.0108459934518,2561.9792756325214
2024-01-11,2375.5254309922975,2187.8131650305563,2573.1618213686334
2024-01-12,2380.4428261764733,2204.996340969421,2561.098911300997
2024-01-13,2397.7182231602546,2209.770037326579,2590.9047572643353
2024-01-14,2410.940642641729,2222.463159069995,2592.1197069489817
2024-01-15,2448.2444059779764,2255.132153014274,2623.6155309183155
2024-01-16,2415.7078964621737,2219.5788464236634,2613.595374281185
2024-01-17,2433.546422893526,2232.4747270695807,2620.807296384067
2024-01-18,2428.5956899427297,2253.013000116811,2610.822435467747
2024-01-19,2424.541964680294,2231.472778474665,2612.507114759945
2024-01-20,2430.984186220998,2229.36752195533,2611.7230536976167
2024-01-21,2431.920696753621,2257.864031638028,2630.2401811996087
2024-01-22,2455.9392205724657,2266.464508283387,2640.334877821599
2024-01-23,2409.604575958942,2226.926348007818,2593.887939467262
2024-01-24,2413.6396329018517,2228.882163642481,2588.606242867315
2024-01-25,2395.396311935679,2223.5743967885037,2579.752377282523
2024-01-26,2379.073018681216,2192.5252190544193,2558.157865087515
2024-01-27,2374.764071349525,2191.3665413879157,2567.186580481502
2024-01-28,2366.934110583128,2164.499747226263,2538.6865974495045
2024-01-29,2384.5964185903917,2205.8991996403142,2571.7489050001354
2024-01-30,2334.689916615538,2150.5641018806236,2520.251286036422
2024-01-31,2338.250613908128,2148.33047747594,2527.4618797525304
2024-02-01,2322.8745333380543,2119.305467367094,2515.715903921603
2024-02-02,2312.928701377428,2124.320494572987,2503.1240313796698
2024-02-03,2318.5959136188617,2135.5989048897213,2515.0701897748727
2024-02-04,2324.3463725149095,2124.2386233541697,2514.5586100095397
2024-02-05,2359.115186251253,2156.443950463284,2545.426999719886
2024-02-06,2329.68051082376,2128.2505139370683,2512.1205615386043
2024-02-07,2356.838073766752,2176.3849746678507,2532.6715514544167
2024-02-08,2367.8690220022118,2175.1083928160742,2564.7449953842297
2024-02-09,2386.7575555182,2214.036022506133,2586.3497693948925
2024-02-10,2423.243890030156,2231.453430158527,2609.021679325544
2024-02-11,2461.3054411791395,2282.204557421762,2651.617599269085
2024-02-12,2529.344983928671,2337.2020217988465,2720.230272799898
2024-02-13,2533.5803091912453,2336.496115282019,2711.15590196275
2024-02-14,2594.230837601654,2405.8075806680895,2785.9322035515593
2024-02-15,2637.997844365131,2451.7950727444877,2837.5520553918172
2024-02-16,2688.294463463483,2507.9030249270377,2873.7660549650213
2024-02-17,2754.3107256013463,2568.9406715604014,2933.2607479860903
2024-02-18,2819.5046038509645,2634.765939042502,3001.6462641781586
2024-02-19,2911.805761616828,2735.643157347961,3102.602373247129
2024-02-20,2937.0098850908057,2747.3478314544063,3129.8234304436905
2024-02-21,3014.9752558549485,2840.8893290777696,3191.0299071344243
2024-02-22,3072.1098426724466,2891.8757824305353,3262.1785901901026
